type,members
2,200630
1,793665
1,114262
1,93351
1,425855
3,80679
2,72534
1,456749
2,102733
1,336376
1,572888
1,179342
2,466254
1,416397
1,75894
2,226193
1,715151
1,157670
3,129307
1,486824
1,552458
2,339556
2,240297
1,205959
1,101351
1,300030
1,562962
1,268487
1,38865
1,88995
2,32266
1,98431
2,333186
1,340973
2,34347
1,247562
1,133620
1,1013917
3,16947
1,176475
1,284498
1,66756
2,111074
1,102322
1,97187
6,49036
1,402381
1,122531
1,56162
3,33422
1,139474
1,355839
2,82253
1,114173
1,463835
1,184525
2,197439
1,348951
1,103178
2,11104
1,93657
2,51185
3,297454
1,425457
1,71295
1,72958
2,80825
2,174878
1,243325
1,28653
1,504862
1,113993
1,74074
2,95658
1,31234
1,82570
1,194855
2,25641
1,193716
1,197256
1,363215
6,34011
1,896229
1,151561
1,53108
2,28864
2,182224
1,288376
3,44223
1,86074
1,453630
1,190197
1,462974
1,254436
1,509109
1,225927
1,38531
1,245026
2,135735
3,13405
1,390076
1,185015
1,207241
2,85361
1,24788
1,88850
1,146895
1,6259
1,166255
1,299434
1,146592
2,271484
1,194491
2,143273
1,602291
1,15074
1,195017
1,102822
1,338315
1,157025
1,210491
3,92543
1,205987
1,36751
2,99579
2,215630
1,633817
2,289206
3,57963
1,107855
1,218928
2,125503
2,28462
1,267484
1,41061
3,15420
1,331627
1,210736
2,85020
1,218101
3,53168
3,55787
3,67261
1,30689
1,83056
1,148328
1,226430
2,137636
1,29528
3,42076
3,28302
1,291228
1,32188
1,380375
1,717796
1,482268
1,83641
6,47840
2,76051
1,422271
2,21798
1,556431
1,67697
1,105044
4,71136
2,151061
6,27213
1,61493
1,99128
2,45547
1,258103
1,122895
1,334932
1,282002
1,67032
1,71820
3,12282
3,27532
1,101027
1,246899
1,258914
2,189741
1,28002
2,53590
6,31856
2,223036
2,115252
6,22900
2,58492
1,74941
2,65594
1,383914
1,600384
1,98996
3,57029
2,109392
1,158561
2,6229
1,375662
6,106382
2,59652
2,94435
1,224947
1,461946
2,18642
2,89424
1,283069
3,36353
6,14002
2,88164
1,69253
1,222994
3,35120
1,39596
1,203233
1,566690
1,142612
2,223359
6,100412
2,20602
1,55566
1,19702
1,56927
6,17247
1,47092
2,60637
3,40623
1,91796
1,134818
1,50778
1,103828
2,152331
1,70822
6,24707
1,60988
1,60918
2,45189
3,104893
5,99074
2,66376
1,391628
3,23701
1,342893
1,440334
1,114702
2,25432
1,81384
1,255076
1,47716
1,120089
1,22079
1,64230
1,129112
3,5001
1,292622
1,41584
1,87617
2,75359
1,54211
1,108053
1,317513
1,120351
1,202249
3,40355
1,106888
1,216674
2,23130
1,115295
6,36091
1,17038
1,232113
6,20157
1,68128
1,508118
1,235003
2,117565
1,73218
2,89749
3,40420
1,15442
1,584590
6,55247
1,73480
1,77464
2,72933
2,21789
2,194561
1,171086
2,11808
2,108720
1,86972
1,260062
1,111009
1,312654
6,9500
1,36251
1,334399
3,8621
6,13764
2,32732
1,21210
1,22190
1,23160
2,23045
2,95241
1,76860
1,239570
6,21435
6,14728
3,5959
1,69000
1,309339
6,106989
1,121349
1,181249
1,103657
1,116261
1,130646
1,27893
2,38118
3,43372
3,35225
1,80763
1,332562
2,12151
3,77111
1,359494
1,372246
4,31464
1,163171
1,171866
1,515378
2,13359
3,40401
1,259900
6,11961
2,26799
2,25461
1,316102
1,6321
1,39866
1,66646
2,9943
1,15557
3,33862
1,159105
2,72708
1,137105
1,12833
1,91138
2,215897
1,189407
6,7923
2,24310
3,7954
1,75612
2,163308
3,21020
1,93095
1,94820
1,80862
6,160423
1,10575
1,26711
1,246276
1,387100
2,13454
1,39832
3,20629
2,17165
2,20989
6,29331
1,5063
1,189641
2,41168
3,34177
2,6645
1,43916
1,51382
2,12353
1,8199
1,132506
1,151106
2,51789
6,16614
1,5308
1,45825
1,194300
3,58075
2,5712
1,353876
6,67962
1,124886
1,44564
1,49599
1,200833
2,3187
2,46018
5,13935
1,150872
2,324035
6,29969
