Key,Steps,Peak,Cardio,FatBurn,Mode,Minutes,Gender,Age,GPA,Life Score
1,11157,0.13,3.86,111.92,1,9.35,1,23,4,48
2,7986,2.72,15.53,249.29,1,8.2,1,18,3.26,101
3,11602,0.35,2.1,195.32,0,12.73,0,18,3.07,64
4,10609,1,6.51,121.75,1,10,1,17,4,41
5,14552,9.1,6.09,109.66,1,8.63,0,18,2.87,83
6,8770,0.57,1.96,106.65,0,15.33,1,18,2.76,45
7,7138,0.13,2.1,55.45,1,9.82,1,18,2.86,74
8,14676,0.55,4.3,130.03,1,8.57,1,19,3.76,67
9,10963,3.76,9.8,184.05,1,8,1,18,3.47,61
10,13510,0.17,13.59,65.14,1,7.38,1,18,3.82,51
11,7442,0.75,3.65,217.08,1,15.35,1,23,3.46,58
12,11318,0.75,3.25,143.03,1,8.83,1,18,4,63
13,10777,0.96,2.91,212.46,1,11.4,1,18,3,78
14,10701,1.89,9.95,191.36,1,9.17,1,18,4,98
15,19968,0.25,2.16,102.03,1,7.3,0,18,3.07,45
16,11713,0.05,1.34,54.93,0,13.75,0,20,3.43,79
17,8596,0.13,2.72,32.11,1,5.92,0,19,2.78,74
18,9562,0.11,1.56,78.14,1,11.2,1,18,2.78,90
19,10470,0.75,5.64,299.65,1,14.85,1,20,3.76,82
20,11020,3.07,11.39,253.09,1,10.28,1,18,3.28,75
21,14982,0.26,1.79,57.04,1,8.65,0,19,3,88
22,8625,0.03,1.62,66.92,0,12.67,1,19,1.76,50
23,9867,2.51,6.29,169.73,1,10.57,1,19,3.42,72
24,9075,0.02,0.3,139.1,1,10.48,0,19,2.84,85
25,15051,0.57,3.84,177.25,1,8.77,0,19,2.87,65
26,11798,2.4,4.79,133.13,1,8.47,1,18,3.47,48
27,14029,0.95,4.26,120.52,1,7.05,0,17,3.53,107
28,9692,0.18,1.49,55.44,1,8.52,1,18,3.5,52
29,11343,0.14,6.09,91.68,0,13.5,1,19,2.35,63
30,17570,4.34,18.08,481.67,1,10.73,1,22,3.58,72
31,8399,1.1,2.57,76.56,1,8.92,0,19,2.42,91
32,1327,0.01,0.72,9.34,1,6.45,0,18,2.28,65
33,9950,22.63,46.74,280.08,1,6.18,0,18,3.82,49
34,12823,1.75,14.7,360.27,1,8.55,1,18,4,39
35,7402,1.19,3.14,174.76,1,8.3,0,19,3,99
36,15980,1.27,10.84,138.99,1,5.92,0,19,3.66,65
37,5642,0.11,0.28,65.07,0,16.15,0,21,1.92,86
38,10316,12.43,37.48,229.89,1,9.62,1,19,3.76,79
39,13382,0.08,0.65,105.57,1,7.67,0,18,2.11,72
40,12018,0.45,7.73,119.83,1,10.33,1,19,3.41,59
41,9024,0.64,7.59,351.56,0,16.63,0,36,2.68,91
42,11793,2.91,15.75,171.82,1,7.22,1,18,4,74
43,5859,3.61,18.76,123.11,0,15.23,1,18,3.28,41
44,9501,0.9,9.16,180.22,1,10.05,1,20,3.37,81
45,11874,0.35,2.46,181.14,1,11.1,1,18,3.78,95
46,5453,0.18,7.45,144.45,1,11.95,1,18,2.25,88
47,12735,2.87,11.28,110.42,1,7.73,1,19,4,88
48,11789,0.25,1.42,117.81,0,12.03,1,18,3.93,46
49,10157,0.66,12.68,313.95,1,11.47,1,19,2.41,63
50,6124,2,5.31,52.19,1,5.7,0,18,3.3,42
51,8524,0.23,3.68,102.98,1,7.58,0,18,3.78,76
52,10996,4.84,4.92,163.92,1,8.47,1,18,3.78,64
53,9381,2.36,12.25,151.51,1,10.4,1,18,3.78,75
54,13751,2.61,8.52,332.02,1,9,1,19,4,74
55,12214,1.54,14.58,69.26,1,9.52,1,18,4,57
56,10165,2.36,5.82,97.76,1,8.15,1,18,3.76,52
57,8428,0.11,2.36,116.47,0,14.75,1,20,2.21,70
58,13982,2.19,9.5,119.07,1,8.6,1,18,3.75,66
59,14052,0.27,4.36,150.66,1,7.67,1,18,3.4,35
60,10812,0.36,8.26,63.42,1,12.08,0,18,3.35,74
61,8802,5.89,9.9,55.53,1,9.35,1,18,4,80
62,6326,0.08,3.18,82.53,1,11.12,0,19,1.75,89
63,8507,0.41,1.73,105.68,1,9.13,0,18,3.18,74
64,13119,0.25,3.65,87.42,1,5.83,0,25,3.75,56
65,7422,0.02,0.41,42.94,1,8.95,0,19,3.3,54
